
xE29688 '█' → 9608 ← █ 14849672 = 219
xE2968C '▌' → 9612 ← ▌ 14849676 = 221
xE29690 '▐' → 9616 ← ▐ 14849680 = 222
xE29691 '░' → 9617 ← ░ 14849681 = 176
xE29692 '▒' → 9618 ← ▒ 14849682 = 177
xE29693 '▓' → 9619 ← ▓ 14849683 = 178
xE296A0 '■' → 9632 ← ■ 14849696 = 254
xEF8C81 '' → 62209←  15699073 = 255

xCE85   '΅' → 901  ← ΅  52869
xCE86   'Ά' → 902  ← Ά  52870
xEFA3B9 '' → 63737←  15705017
xCE84   '΄' → 900  ← ΄  52868
xCE88   'Έ' → 904  ← Έ  52872
xCE89   'Ή' → 905  ← Ή  52873
xCE8A   'Ί' → 906  ← Ί  52874
xCE8C   'Ό' → 908  ← Ό  52876
xCE8E   'Ύ' → 910  ← Ύ  52878
xCE8F   'Ώ' → 911  ← Ώ  52879
xCE90   'ΐ' → 912  ← ΐ  52880
xCE91   'Α' → 913  ← Α  52881
xCE92   'Β' → 914  ← Β  52882
xCE93   'Γ' → 915  ← Γ  52883
xCE94   'Δ' → 916  ← Δ  52884
xCE95   'Ε' → 917  ← Ε  52885
xCE96   'Ζ' → 918  ← Ζ  52886
xCE97   'Η' → 919  ← Η  52887
xCE98   'Θ' → 920  ← Θ  52888
xCE99   'Ι' → 921  ← Ι  52889
xCE9A   'Κ' → 922  ← Κ  52890
xCE9B   'Λ' → 923  ← Λ  52891
xCE9C   'Μ' → 924  ← Μ  52892
xCE9D   'Ν' → 925  ← Ν  52893
xCE9E   'Ξ' → 926  ← Ξ  52894
xCE9F   'Ο' → 927  ← Ο  52895
xCEA0   'Π' → 928  ← Π  52896
xCEA1   'Ρ' → 929  ← Ρ  52897
xEFA3BA '' → 63738←  15705018
xCEA3   'Σ' → 931  ← Σ  52899
xCEA4   'Τ' → 932  ← Τ  52900
xCEA5   'Υ' → 933  ← Υ  52901
xCEA6   'Φ' → 934  ← Φ  52902
xCEA7   'Χ' → 935  ← Χ  52903
xCEA8   'Ψ' → 936  ← Ψ  52904
xCEA9   'Ω' → 937  ← Ω  52905
xCEAA   'Ϊ' → 938  ← Ϊ  52906
xCEAB   'Ϋ' → 939  ← Ϋ  52907
xCEAC   'ά' → 940  ← ά  52908
xCEAD   'έ' → 941  ← έ  52909
xCEAE   'ή' → 942  ← ή  52910
xCEAF   'ί' → 943  ← ί  52911
xCEB0   'ΰ' → 944  ← ΰ  52912
xCEB1   'α' → 945  ← α  52913
xCEB2   'β' → 946  ← β  52914
xCEB3   'γ' → 947  ← γ  52915
xCEB4   'δ' → 948  ← δ  52916
xCEB5   'ε' → 949  ← ε  52917
xCEB6   'ζ' → 950  ← ζ  52918
xCEB7   'η' → 951  ← η  52919
xCEB8   'θ' → 952  ← θ  52920
xCEB9   'ι' → 953  ← ι  52921
xCEBA   'κ' → 954  ← κ  52922
xCEBB   'λ' → 955  ← λ  52923
xCEBC   'μ' → 956  ← μ  52924
xCEBD   'ν' → 957  ← ν  52925
xCEBE   'ξ' → 958  ← ξ  52926
xCEBF   'ο' → 959  ← ο  52927
xCF80   'π' → 960  ← π  53120
xCF81   'ρ' → 961  ← ρ  53121
xCF82   'ς' → 962  ← ς  53122
xCF83   'σ' → 963  ← σ  53123
xCF84   'τ' → 964  ← τ  53124
xCF85   'υ' → 965  ← υ  53125
xCF86   'φ' → 966  ← φ  53126
xCF87   'χ' → 967  ← χ  53127
xCF88   'ψ' → 968  ← ψ  53128
xCF89   'ω' → 969  ← ω  53129
xCF8A   'ϊ' → 970  ← ϊ  53130
xCF8B   'ϋ' → 971  ← ϋ  53131
xCF8C   'ό' → 972  ← ό  53132
xCF8D   'ύ' → 973  ← ύ  53133
xCF8E   'ώ' → 974  ← ώ  53134
xEFA3BB '' → 63739←  15705019
